Data Registrazione;Data valuta;Descrizione;Importo (EUR)
01.08.2026;01.08.2026;Bonifico a IMMOBILIARE CASA BELLA SRL per AFFITTO 08/2026;-650,00
04.08.2026;04.08.2026;PAGAMENTO POS PIZZERIA NAPOLI;-33,00
05.08.2026;05.08.2026;NETFLIX.COM AMSTERDAM;-17,99
05.08.2026;05.08.2026;PAGAMENTO POS LIDL ITALIA;-70,46
05.08.2026;05.08.2026;PAGAMENTO POS CARREFOUR EXPRESS;-21,52
05.08.2026;05.08.2026;PAGAMENTO POS AMAZON EU SARL;-114,12
06.08.2026;06.08.2026;SPOTIFY AB STOCKHOLM;-10,99
08.08.2026;08.08.2026;PAGAMENTO POS LIDL ITALIA;-24,35
09.08.2026;09.08.2026;PAGAMENTO POS ENI STATION 1043;-41,63
10.08.2026;10.08.2026;PAGAMENTO POS LIDL ITALIA;-75,34
11.08.2026;11.08.2026;PAGAMENTO POS CONAD CITY;-55,25
11.08.2026;11.08.2026;Bonifico da STUDIO BIANCHI per FATTURA consulenza;533,41
12.08.2026;12.08.2026;ENEL ENERGIA SPA bolletta luce 08/2026;-69,85
14.08.2026;14.08.2026;A2A ENERGIA gas;-52,96
16.08.2026;16.08.2026;PAGAMENTO POS RISTORANTE DA LUIGI;-32,29
18.08.2026;18.08.2026;ILIAD ITALIA SPA ricarica;-9,99
20.08.2026;20.08.2026;Giroconto verso conto deposito;-200,00
20.08.2026;20.08.2026;PAGAMENTO POS ENI STATION 1043;-64,33
20.08.2026;20.08.2026;PAGAMENTO POS CARREFOUR EXPRESS;-42,84
22.08.2026;22.08.2026;PAGAMENTO POS RISTORANTE DA LUIGI;-79,23
23.08.2026;23.08.2026;PAGAMENTO POS Q8 VIA EMILIA;-47,84
24.08.2026;24.08.2026;PAGAMENTO POS Q8 VIA EMILIA;-64,20
24.08.2026;24.08.2026;PAGAMENTO POS CONAD CITY;-14,65
24.08.2026;24.08.2026;PAGAMENTO POS AMAZON EU SARL;-27,42
26.08.2026;26.08.2026;PAGAMENTO POS CARREFOUR EXPRESS;-24,07
26.08.2026;26.08.2026;PAGAMENTO POS ENI STATION 1043;-41,50
27.08.2026;27.08.2026;Bonifico da ACME SPA per STIPENDIO 08/2026;1980,00
28.08.2026;28.08.2026;COMMISSIONI BONIFICO;-3,83
28.08.2026;28.08.2026;PAGAMENTO POS ATM MILANO;-2,20
01.09.2026;01.09.2026;Bonifico a IMMOBILIARE CASA BELLA SRL per AFFITTO 09/2026;-650,00
02.09.2026;02.09.2026;PAGAMENTO POS CARREFOUR EXPRESS;-30,79
02.09.2026;02.09.2026;PAGAMENTO POS CONAD CITY;-35,22
04.09.2026;04.09.2026;PAGAMENTO POS DECATHLON;-77,88
05.09.2026;05.09.2026;NETFLIX.COM AMSTERDAM;-17,99
05.09.2026;05.09.2026;PAGAMENTO POS PIZZERIA NAPOLI;-32,22
06.09.2026;06.09.2026;SPOTIFY AB STOCKHOLM;-10,99
12.09.2026;12.09.2026;ENEL ENERGIA SPA bolletta luce 09/2026;-79,83
12.09.2026;12.09.2026;PAGAMENTO POS LIBRERIA FELTRINELLI;-9,10
12.09.2026;12.09.2026;PAGAMENTO POS Q8 VIA EMILIA;-57,17
14.09.2026;14.09.2026;A2A ENERGIA gas;-45,36
14.09.2026;14.09.2026;PAGAMENTO POS Q8 VIA EMILIA;-55,08
14.09.2026;14.09.2026;PAGAMENTO POS TELEPASS SPA;-15,87
14.09.2026;14.09.2026;PAGAMENTO POS CINEMA ANTEO;-13,79
14.09.2026;14.09.2026;Bonifico da STUDIO BIANCHI per FATTURA consulenza;513,11
15.09.2026;15.09.2026;PAGAMENTO POS Q8 VIA EMILIA;-57,16
16.09.2026;16.09.2026;PAGAMENTO POS ENI STATION 1043;-74,58
18.09.2026;18.09.2026;ILIAD ITALIA SPA ricarica;-9,99
20.09.2026;20.09.2026;Giroconto verso conto deposito;-200,00
20.09.2026;20.09.2026;PAGAMENTO POS DELIVEROO ITALY;-30,44
23.09.2026;23.09.2026;PAGAMENTO POS CARREFOUR EXPRESS;-39,80
24.09.2026;24.09.2026;PAGAMENTO POS LIDL ITALIA;-27,09
